grupo,seleccion_analizada,posicion,equipo,team_id,PJ,PG,PE,PP,GF,GC,DIF,PTS,escudo_url,ultima_actualizacion
Grupo A,México,1,México,4781,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4781/image,2026-06-07 16:32
Grupo A,México,2,Sudáfrica,4736,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4736/image,2026-06-07 16:32
Grupo A,México,3,Corea del Sur,4735,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4735/image,2026-06-07 16:32
Grupo A,México,4,Rep. Checa,4714,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4714/image,2026-06-07 16:32
Grupo H,España,1,España,4698,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4698/image,2026-06-07 16:32
Grupo H,España,2,Cabo Verde,4753,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4753/image,2026-06-07 16:32
Grupo H,España,3,Arabia Saudí,4834,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4834/image,2026-06-07 16:32
Grupo H,España,4,Uruguay,4725,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4725/image,2026-06-07 16:32
Grupo J,Argentina,1,Argentina,4819,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4819/image,2026-06-07 16:32
Grupo J,Argentina,2,Argelia,4691,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4691/image,2026-06-07 16:32
Grupo J,Argentina,3,Austria,4718,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4718/image,2026-06-07 16:32
Grupo J,Argentina,4,Jordania,4771,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4771/image,2026-06-07 16:32
Grupo K,Colombia,1,Portugal,4704,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4704/image,2026-06-07 16:32
Grupo K,Colombia,2,RD Congo,4823,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4823/image,2026-06-07 16:32
Grupo K,Colombia,3,Uzbekistán,4723,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4723/image,2026-06-07 16:32
Grupo K,Colombia,4,Colombia,4820,0,0,0,0,0,0,0,0,https://api.sofascore.app/api/v1/team/4820/image,2026-06-07 16:32
