player_name,position,player_id,partidos,titularidades,rating_prom,rating_max,minutos_total,minutos_prom,goles,asistencias,xG_total,tiros_arco,tiros_fuera,tiros_totales,pase_pct_prom,pases_precisos_total,pases_totales_total,duelos_ganados,duelos_totales,duelos_pct_prom,recuperaciones,dribbles,centros,intercepciones,entradas_total,entradas_ganadas,amarillas,rojas,g_a_per90_prom,passes_per90_prom,recoveries_per90_prom,duelos_aereos_ganados,duelos_aereos_total,duelos_aereos_pct,faltas_cometidas,faltas_recibidas,grandes_ocasiones_falladas,grandes_ocasiones_creadas,palos,despejes,regates_intentados,regates_ganados,toques_malos,fueras_juego,atajadas,contribuciones_gol,position_group,foto_url,team
James Rodríguez,M,107414,10,8,"7,83","9,1","642,0","64,2",2,5,0,11,4,"16,0","89,6","411,0","457,0","26,0","41,0","59,0","18,0","66,0","45,0","2,0","6,0","3,0",0,0,"0,97","58,52","2,41","2,0","4,0","50,0","1,0","13,0","0,0","7,0","0,0","2,0","7,0","5,0","5,0","2,0","0,0",7,MID,https://api.sofascore.app/api/v1/player/107414/image,Colombia
Luis Díaz,M,883537,10,10,"7,68","10,0","755,0","75,5",4,3,0,10,6,"27,0","84,67","239,0","281,0","72,0","132,0","53,73","39,0","57,0","8,0","2,0","8,0","6,0",0,0,"0,78","28,55","4,51","9,0","16,0","60,73","10,0","27,0","2,0","4,0","0,0","1,0","51,0","28,0","28,0","4,0","0,0",7,MID,https://api.sofascore.app/api/v1/player/883537/image,Colombia
Willer Ditta,D,931705,3,2,"7,45","7,5","164,0","82,0",0,0,0,0,2,"2,0","88,5","69,0","78,0","10,0","14,0","73,35","5,0","16,0","0,0","2,0","2,0","2,0",0,0,"0,0","39,45","2,95","7,0","8,0","92,85","3,0","1,0","0,0","0,0","0,0","14,0","0,0","0,0","2,0","0,0","0,0",0,DEF,https://api.sofascore.app/api/v1/player/931705/image,Colombia
Johan Carbonero,F,925125,6,0,"7,3","7,3","37,0","18,5",2,0,0,2,1,"3,0","77,5","7,0","9,0","2,0","5,0","25,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,"5,34","19,45","0,0","0,0","0,0",,"2,0","1,0","0,0","0,0","0,0","0,0","1,0","1,0","1,0","0,0","0,0",2,FWD,https://api.sofascore.app/api/v1/player/925125/image,Colombia
Santiago Arias,D,158583,7,4,"7,22","7,6","378,0","75,6",0,2,0,1,1,"2,0","91,42","228,0","248,0","14,0","27,0","52,76","13,0","22,0","14,0","3,0","5,0","5,0",0,0,"0,4","54,66","3,34","4,0","5,0","83,33","4,0","5,0","0,0","0,0","0,0","7,0","0,0","0,0","2,0","0,0","0,0",2,DEF,https://api.sofascore.app/api/v1/player/158583/image,Colombia
Luis Javier Suárez,F,914213,10,5,"7,2","9,9","369,0","61,5",5,0,0,5,4,"9,0","74,05","46,0","61,0","11,0","32,0","34,95","6,0","11,0","1,0","0,0","0,0","0,0",0,0,"1,2","11,67","1,28","3,0","11,0","25,0","8,0","6,0","1,0","0,0","0,0","3,0","4,0","2,0","9,0","0,0","0,0",5,FWD,https://api.sofascore.app/api/v1/player/914213/image,Colombia
Juan Fernando Quintero,M,221162,7,1,"7,16","8,0","194,0","27,71",1,3,0,1,0,"2,0","80,54","130,0","158,0","5,0","8,0","58,32","3,0","37,0","14,0","0,0","1,0","1,0",0,0,"2,08","68,57","1,13","1,0","1,0","100,0","0,0","1,0","0,0","3,0","0,0","0,0","4,0","2,0","4,0","0,0","0,0",4,MID,https://api.sofascore.app/api/v1/player/221162/image,Colombia
Davinson Sánchez,D,566102,10,8,"7,12","7,8","675,0","84,38",1,1,0,2,0,"2,0","88,2","486,0","541,0","27,0","41,0","65,31","27,0","93,0","1,0","6,0","15,0","9,0",0,0,"0,38","65,0","3,5","5,0","11,0","46,66","3,0","7,0","1,0","2,0","0,0","31,0","0,0","0,0","5,0","0,0","0,0",2,DEF,https://api.sofascore.app/api/v1/player/566102/image,Colombia
Yerry Mina,D,360396,6,2,"7,1","7,6","196,0","65,33",1,1,0,1,0,"1,0","90,97","136,0","151,0","12,0","17,0","81,47","6,0","6,0","0,0","2,0","0,0","0,0",0,0,"0,67","70,0","2,0","8,0","9,0","91,67","4,0","4,0","0,0","0,0","0,0","12,0","0,0","0,0","1,0","1,0","0,0",2,DEF,https://api.sofascore.app/api/v1/player/360396/image,Colombia
Jhon Lucumí,D,818481,10,6,"7,09","7,6","630,0","78,75",1,0,0,1,0,"2,0","92,75","425,0","457,0","10,0","14,0","76,66","20,0","59,0","0,0","6,0","4,0","4,0",0,0,"0,12","58,62","2,75","4,0","7,0","66,67","1,0","1,0","0,0","0,0","0,0","23,0","1,0","1,0","5,0","0,0","0,0",1,DEF,https://api.sofascore.app/api/v1/player/818481/image,Colombia
